request_size_kb,server_load,is_cached,region_latency,response_time_ms
444.0,0.7,0,178,266.23
80.2,0.8,0,58,213.24
93.5,0.6,1,170,405.83
178.7,0.3,1,112,308.86
250.4,0.1,1,66,275.16
493.0,0.5,1,39,233.31
260.8,0.8,0,171,273.86
121.7,0.3,1,127,366.11
286.9,0.2,1,145,311.72
356.2,0.4,0,147,116.24
17.5,0.9,0,13,274.25
497.8,0.5,0,91,162.66
58.9,0.5,0,108,176.58
459.6,0.6,0,174,195.48
331.1,0.6,1,174,363.05
467.7,0.2,0,169,157.51
322.1,0.1,1,54,153.65
265.2,0.3,1,165,343.88
350.1,0.3,1,76,278.63
191.3,0.1,0,18,122.94
221.4,0.6,1,157,398.87
334.0,1.0,0,47,180.35
409.7,0.3,0,120,90.77
242.2,1.0,0,10,247.89
171.2,0.6,0,36,95.8
